date_local,parameter,arithmetic_mean,aqi
2020-05-29,Carbon monoxide,0.229167,3.0
2020-05-30,Carbon monoxide,0.120833,2.0
2020-05-31,Carbon monoxide,0.054167,1.0
2020-06-01,Carbon monoxide,0.1125,2.0
2020-06-02,Carbon monoxide,0.279167,5.0
2020-06-03,Carbon monoxide,0.3375,5.0
2020-06-04,Carbon monoxide,0.233333,3.0
2020-06-05,Carbon monoxide,0.208333,3.0
2020-06-06,Carbon monoxide,0.333333,6.0
2020-06-07,Carbon monoxide,0.25,5.0
2020-06-08,Carbon monoxide,0.170833,2.0
2020-06-09,Carbon monoxide,0.2,2.0
2020-06-10,Carbon monoxide,0.183333,2.0
2020-06-11,Carbon monoxide,0.070833,1.0
2020-06-12,Carbon monoxide,0.120833,3.0
2020-06-13,Carbon monoxide,0.2,5.0
2020-06-14,Carbon monoxide,0.320833,7.0
2020-06-15,Carbon monoxide,0.058333,1.0
2020-06-16,Carbon monoxide,0.058333,1.0
2020-06-17,Carbon monoxide,0.108333,2.0
2020-06-18,Carbon monoxide,0.175,2.0
2020-06-19,Carbon monoxide,0.304167,5.0
2020-06-20,Carbon monoxide,0.316667,6.0
2020-06-21,Carbon monoxide,0.408333,8.0
2020-06-22,Carbon monoxide,0.245833,3.0
2020-06-23,Carbon monoxide,0.141667,2.0
2020-06-24,Carbon monoxide,0.233333,3.0
2020-06-25,Carbon monoxide,0.175,3.0
2020-06-26,Carbon monoxide,0.311111,5.0
2020-06-27,Carbon monoxide,0.179167,2.0
2020-06-28,Carbon monoxide,0.208333,3.0
2020-06-29,Carbon monoxide,0.325,5.0
2020-07-01,Carbon monoxide,0.3,3.0
2020-07-02,Carbon monoxide,0.229412,3.0
2020-07-03,Carbon monoxide,0.216667,3.0
2020-07-04,Carbon monoxide,0.245833,3.0
2020-07-05,Carbon monoxide,0.3,5.0
2020-07-06,Carbon monoxide,0.216667,3.0
2020-07-07,Carbon monoxide,0.279167,5.0
2020-07-08,Carbon monoxide,0.266667,3.0
2020-07-09,Carbon monoxide,0.35,5.0
2020-07-10,Carbon monoxide,0.245833,5.0
2020-07-11,Carbon monoxide,0.179167,3.0
2020-07-12,Carbon monoxide,0.195833,3.0
2020-07-13,Carbon monoxide,0.129167,2.0
2020-07-14,Carbon monoxide,0.133333,2.0
2020-07-15,Carbon monoxide,0.266667,5.0
2020-07-16,Carbon monoxide,0.241667,3.0
2020-07-17,Carbon monoxide,0.270833,5.0
2020-07-18,Carbon monoxide,0.2625,5.0
2020-07-19,Carbon monoxide,0.291667,5.0
2020-07-20,Carbon monoxide,0.2875,5.0
2020-07-21,Carbon monoxide,0.241667,3.0
2020-07-22,Carbon monoxide,0.2375,3.0
2020-07-23,Carbon monoxide,0.2625,3.0
2020-07-24,Carbon monoxide,0.2,3.0
2020-07-25,Carbon monoxide,0.195833,3.0
2020-07-26,Carbon monoxide,0.241667,5.0
2020-07-27,Carbon monoxide,0.3,6.0
2020-07-28,Carbon monoxide,0.166667,2.0
2020-07-29,Carbon monoxide,0.2875,5.0
2020-07-30,Carbon monoxide,0.283333,5.0
2020-07-31,Carbon monoxide,0.229167,3.0
2020-08-01,Carbon monoxide,0.116667,2.0
2020-08-02,Carbon monoxide,0.129167,5.0
2020-08-03,Carbon monoxide,0.295833,6.0
2020-08-04,Carbon monoxide,0.091667,2.0
2020-08-05,Carbon monoxide,0.0,0.0
2020-08-06,Carbon monoxide,0.033333,1.0
2020-08-07,Carbon monoxide,0.0625,1.0
2020-08-08,Carbon monoxide,0.079167,1.0
2020-08-09,Carbon monoxide,0.2,2.0
2020-08-10,Carbon monoxide,0.195833,2.0
2020-08-11,Carbon monoxide,0.108333,2.0
2020-08-12,Carbon monoxide,0.129167,2.0
2020-08-13,Carbon monoxide,0.158333,2.0
2020-08-14,Carbon monoxide,0.108333,2.0
2020-08-15,Carbon monoxide,0.066667,1.0
2020-08-16,Carbon monoxide,0.129167,3.0
2020-08-17,Carbon monoxide,0.029167,1.0
2020-08-18,Carbon monoxide,0.295833,5.0
2020-08-19,Carbon monoxide,0.1375,2.0
2020-08-20,Carbon monoxide,0.1625,2.0
